,airline,departure_time,stops,class,duration,days_left,price
37764,Vistara,Afternoon,two_or_more,Economy,8.83,18,8719
112934,Vistara,Evening,one,Economy,11.92,29,5322
25003,Air_India,Early_Morning,one,Economy,25.83,29,5805
258557,Vistara,Morning,one,Business,11.42,43,37985
268816,Vistara,Evening,one,Business,13.92,26,60978
288026,Vistara,Early_Morning,one,Business,16.0,9,57920
94417,AirAsia,Evening,one,Economy,11.17,4,5299
192472,AirAsia,Night,one,Economy,8.67,39,1830
126918,Air_India,Morning,one,Economy,12.25,46,5093
216237,Vistara,Morning,one,Business,10.42,7,75385
140226,Air_India,Afternoon,one,Economy,26.75,34,6633
125635,Indigo,Morning,one,Economy,6.67,38,8289
28895,Vistara,Afternoon,one,Economy,21.92,2,10575
219256,Vistara,Morning,one,Business,10.58,4,51697
155964,GO_FIRST,Early_Morning,one,Economy,10.83,30,5365
86753,Air_India,Evening,one,Economy,21.75,15,12739
62894,Air_India,Evening,one,Economy,24.83,10,9828
238212,Vistara,Afternoon,one,Business,8.25,5,58125
271108,Vistara,Morning,one,Business,25.83,20,49207
272247,Vistara,Morning,one,Business,10.67,42,67497
46924,Indigo,Afternoon,one,Economy,6.25,22,2339
137010,Indigo,Morning,one,Economy,9.5,13,6489
15908,AirAsia,Evening,zero,Economy,2.75,30,4499
32100,Vistara,Night,one,Economy,14.58,27,5549
66441,Air_India,Early_Morning,one,Economy,15.25,29,4977
229538,Air_India,Early_Morning,one,Business,7.67,45,50957
218675,Vistara,Morning,one,Business,7.33,43,59929
228738,Air_India,Early_Morning,one,Business,10.17,38,29764
18315,Air_India,Morning,one,Economy,9.5,41,4230
201962,Indigo,Early_Morning,one,Economy,6.75,43,4079
222215,Air_India,Evening,one,Business,18.08,7,67421
176666,Vistara,Evening,one,Economy,22.67,6,11497
196099,Vistara,Night,one,Economy,13.75,30,6437
205386,AirAsia,Night,one,Economy,10.17,35,1550
184328,GO_FIRST,Early_Morning,one,Economy,13.58,29,4827
97678,Air_India,Morning,one,Economy,22.67,22,6158
146607,Vistara,Morning,one,Economy,26.33,37,6075
237665,Vistara,Night,one,Business,20.17,45,62045
243339,Vistara,Night,one,Business,12.0,27,74365
46272,GO_FIRST,Afternoon,zero,Economy,2.25,19,2339
47679,Air_India,Morning,one,Economy,27.5,25,5628
18139,GO_FIRST,Evening,zero,Economy,2.75,40,4501
76995,Air_India,Afternoon,one,Economy,20.5,47,4173
46470,Indigo,Early_Morning,zero,Economy,2.08,20,2339
106322,Indigo,Afternoon,one,Economy,6.17,27,4392
162722,Indigo,Evening,one,Economy,7.33,31,2301
37941,Vistara,Evening,two_or_more,Economy,25.25,19,8278
198784,Vistara,Afternoon,one,Economy,10.25,12,15384
148281,SpiceJet,Night,zero,Economy,2.25,5,6488
139085,AirAsia,Early_Morning,one,Economy,14.08,27,3862
172919,Vistara,Night,one,Economy,22.33,21,8449
76745,Vistara,Afternoon,two_or_more,Economy,7.58,45,6548
211397,Vistara,Afternoon,one,Business,9.17,44,53164
196516,GO_FIRST,Afternoon,one,Economy,9.0,35,4612
203939,Vistara,Night,one,Economy,25.83,17,4821
155842,Vistara,Night,one,Economy,16.92,29,5892
106067,Vistara,Evening,one,Economy,20.92,25,6271
228188,Vistara,Afternoon,zero,Business,2.08,33,22140
192882,Indigo,Afternoon,one,Economy,8.75,42,1830
277489,Air_India,Early_Morning,one,Business,15.67,6,45883
260183,Vistara,Morning,one,Business,10.42,29,44280
288754,Air_India,Evening,zero,Business,2.83,22,27792
134968,GO_FIRST,Early_Morning,zero,Economy,2.83,46,4499
63164,Air_India,Evening,one,Economy,25.08,11,12007
235410,Vistara,Evening,one,Business,25.08,17,74365
97938,Vistara,Afternoon,one,Economy,26.0,23,9379
213353,Air_India,Morning,one,Business,7.83,19,42457
157396,Air_India,Morning,zero,Economy,2.5,41,2276
180905,Vistara,Afternoon,one,Economy,7.25,6,11448
256709,Vistara,Evening,one,Business,26.5,14,37985
187733,Vistara,Morning,one,Economy,11.08,3,36071
175115,Vistara,Early_Morning,two_or_more,Economy,10.42,39,9433
215920,Vistara,Evening,one,Business,3.25,3,39736
59873,Vistara,Early_Morning,one,Economy,12.25,40,7097
13403,Indigo,Afternoon,one,Economy,9.92,19,3671
226162,Vistara,Morning,one,Business,12.5,13,53152
199743,Air_India,Morning,one,Economy,28.58,21,5309
70277,Air_India,Evening,two_or_more,Economy,15.25,49,6177
64994,Vistara,Afternoon,one,Economy,18.92,21,5949
95132,Indigo,Afternoon,one,Economy,4.17,8,13736
48988,GO_FIRST,Afternoon,one,Economy,10.83,31,5805
226351,Vistara,Morning,one,Business,10.17,15,51372
84116,Air_India,Early_Morning,one,Economy,25.75,1,12477
245172,Vistara,Early_Morning,one,Business,14.0,6,57081
274331,Vistara,Morning,one,Business,10.0,40,55983
18997,Vistara,Morning,one,Economy,8.92,44,4896
93835,AirAsia,Afternoon,one,Economy,9.33,49,2723
17881,Air_India,Evening,one,Economy,24.67,39,4230
259649,Air_India,Afternoon,one,Business,10.25,18,60396
257439,Vistara,Evening,one,Business,17.75,25,56588
254503,Air_India,Morning,one,Business,11.92,27,60508
141825,Air_India,Afternoon,one,Economy,18.92,45,5135
216226,Vistara,Evening,one,Business,23.08,7,67769
92897,GO_FIRST,Early_Morning,one,Economy,10.0,44,4250
58654,Indigo,Evening,one,Economy,5.58,34,2124
262854,Vistara,Morning,one,Business,7.67,29,66063
196344,Vistara,Early_Morning,one,Economy,24.83,33,4755
127438,Air_India,Evening,one,Economy,25.42,49,5782
250548,Vistara,Early_Morning,one,Business,12.08,23,69244
78313,Indigo,Morning,one,Economy,7.5,9,11141
176699,Indigo,Early_Morning,zero,Economy,1.17,7,4453
167522,Air_India,Night,one,Economy,15.67,21,6314
159162,Air_India,Morning,one,Economy,29.67,7,8928
215350,Vistara,Evening,one,Business,12.0,42,62617
36625,SpiceJet,Evening,one,Economy,26.42,12,7425
129357,Vistara,Early_Morning,one,Economy,11.92,14,11139
63856,GO_FIRST,Early_Morning,one,Economy,11.92,15,9723
194738,Vistara,Morning,one,Economy,10.17,14,15794
209311,Air_India,Evening,one,Business,18.92,26,32646
264981,Vistara,Morning,one,Business,6.25,16,58223
15797,Indigo,Night,one,Economy,5.25,30,3302
236958,Air_India,Night,one,Business,21.67,37,49725
125349,AirAsia,Early_Morning,zero,Economy,2.42,37,3999
156206,Indigo,Afternoon,one,Economy,8.33,32,3397
5541,Indigo,Early_Morning,zero,Economy,2.17,29,2410
23436,Vistara,Afternoon,one,Economy,5.58,20,6840
78261,Indigo,Evening,one,Economy,4.92,9,8043
259548,Air_India,Afternoon,one,Business,19.58,16,60396
22199,AirAsia,Morning,two_or_more,Economy,16.0,14,5953
41500,Vistara,Early_Morning,one,Economy,14.17,40,4979
64018,GO_FIRST,Night,one,Economy,10.75,16,5817
144905,Indigo,Afternoon,one,Economy,4.5,23,6489
247539,Air_India,Early_Morning,zero,Business,2.75,36,32923
127972,SpiceJet,Afternoon,one,Economy,23.5,5,12895
114415,Indigo,Morning,one,Economy,8.58,41,1694
148604,Vistara,Evening,one,Economy,26.33,8,14620
4135,Vistara,Early_Morning,one,Economy,15.5,22,5227
211897,Air_India,Afternoon,one,Business,25.42,49,39622
129127,SpiceJet,Evening,one,Economy,19.25,13,7958
281363,Air_India,Early_Morning,one,Business,13.58,21,56590
111053,Vistara,Evening,one,Economy,17.83,14,7813
231602,Vistara,Evening,one,Business,5.75,20,62448
61171,Air_India,Early_Morning,two_or_more,Economy,27.92,47,8851
82429,Vistara,Night,one,Economy,11.17,38,3998
51250,Air_India,Night,one,Economy,17.58,42,3819
111992,Air_India,Afternoon,one,Economy,28.25,21,10090
198656,Vistara,Evening,one,Economy,16.42,11,13122
23998,Air_India,Early_Morning,one,Economy,15.67,23,6311
9669,Air_India,Night,one,Economy,12.5,48,3831
147309,Air_India,Night,one,Economy,15.42,43,4724
71492,AirAsia,Afternoon,one,Economy,4.67,11,4259
229685,Vistara,Early_Morning,zero,Business,2.08,47,22140
192809,Air_India,Early_Morning,one,Economy,13.83,41,4357
80466,Air_India,Afternoon,one,Economy,16.0,24,5800
80298,Vistara,Night,one,Economy,22.33,23,5132
292651,Vistara,Early_Morning,one,Business,12.17,37,57393
177902,Indigo,Early_Morning,one,Economy,3.25,21,4453
